idx,name
0,drinking
1,eating_meal
2,eating_snack
3,washing_dish
4,throwing_trash
5,washing_hands
6,opening_refrigerator_door
7,pouring_tea_or_coffee
8,cutting_food
9,cooking
10,setting_hair
11,drying_hair_with_blower
12,making_up
13,manicuring
14,gargling
15,brushing_teeth
16,washing_face
17,shaving
18,wearing_glass
19,playing_with_toy
20,playing_board_game
21,using_computer
22,listening_to_music_with_headphones
23,playing_computer_game
24,taking_photo
25,using_smartphone
26,using_tablet
27,operating_remote_control
28,watching_TV
29,telephoning
30,gardening
31,playing_guitar
32,playing_piano
33,blowing_flute
34,standing_on_chair_or_table_or_stepladder
35,throwing
36,opening_or_closing_container
37,smoking
38,ironing
39,knitting_or_stitching
40,polishing_shoe
41,wearing_shoes
42,sewing
43,hanging_out_or_taking_in_laundry
44,folding_laundry
45,wearing_tie
46,putting_off_cloth
47,putting_on_cloth
48,housecleaning
49,wiping_window
50,drawing_picture
51,doing_origami
52,reading_newspaper
53,studying
54,reading_book
55,writing
56,changing_baby_diaper
57,bottle-feeding_baby
58,holding_someone_on_back
59,holding_someone
60,feeding_baby
61,assisting_in_getting_up
62,assisting_in_walking
63,teaching
64,nodding
65,shaking_head
66,speaking
67,hearing
68,pointing_with_finger
69,caressing_head
70,kissing
71,doing_high_five
72,hugging
73,stroking_animal
74,shaking_hands
75,bowing
76,giving_massage
77,passing_something
78,doing_paper-rock-scissors
79,fighting
80,walking_with_stick
81,walking
82,going_up_or_down_stairs
83,jumping_on_sofa_or_bed
84,baby_crying
85,baby_crawling
86,exercising
87,dancing
88,running_around
89,clapping_hands
90,sitting_down
91,standing_up
92,sleeping_on_bed
93,lying_on_floor
94,going_out_of_room
95,entering_room
96,being_angry
97,being_surprised
98,crying
99,smiling
